time	major_opr	minor_opr	process_name	pid	tid	parent_pid	buffer_length	entropy_bit_based	entropy_byte_based	file_name	is_rename	is_delete	file_size	offset
133349321644208913	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\drvstore.dll	0	0	0	0
133349321644213610	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devobj.dll	0	0	0	0
133349321644213702	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devobj.dll	0	0	0	0
133349321644214159	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	6924	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\devobj.dll	0	0	0	0
133349321644214592	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\fltLib.dll	0	0	0	0
133349321644214691	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\fltLib.dll	0	0	0	0
133349321644215315	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\fltLib.dll	0	0	0	0
133349321644225808	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\msasn1.dll	0	0	0	0
133349321644225895	IRP_MJ_QUERY_INFORMATION	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\msasn1.dll	0	0	0	0
133349321644226407	IRP_MJ_CREATE	OP_NOTHING	\Device\HarddiskVolume3\Windows\System32\svchost.exe	9396	8472	844	0	0	0	\Device\HarddiskVolume3\Windows\System32\msasn1.dll	0	0	0	0
